2025-11-02T11:22:45-0300 | INFO | mensagens-consumer | Inicializando consumer e verificando bucket MinIO...
2025-11-02T11:22:45-0300 | INFO | mensagens-consumer | Bucket criado: mensagens
2025-11-02T11:22:45-0300 | INFO | mensagens-consumer | Iniciando loop de consumo de mensagens...
2025-11-02T11:30:47-0300 | INFO | mensagens-consumer | Bucket já existe: users-mensagens
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050405_e9efac4b.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050453_0b219ad7.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050500_78f9da8b.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050548_49d21765.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050597_d3228a70.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050643_5a89449a.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050691_e1df7446.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050740_bfd72d18.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050788_2c230316.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050836_dce07a01.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050884_a22581e7.ndjson
2025-11-02T11:30:50-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050932_41b33fcf.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143050979_0d0e012f.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051027_2dc1c652.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051076_627a3584.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051124_40d59910.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051172_4aab5daf.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051220_f1eff97b.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051267_1ae6340a.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051315_2666a6a4.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051364_30888e8c.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051412_4ee3fbe3.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051460_4851a512.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051507_521e9ca4.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051556_876738b7.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051603_11cabcc7.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051652_724fd540.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051700_fbb63ce4.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051748_e0b12ae4.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051796_3eac319c.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051844_726a7d2d.ndjson
2025-11-02T11:30:51-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143051891_6e516e49.ndjson
